OBJECTID,Date,Latitude,Longitude,Oceans,Regions,Location,Microplastics Measurement (density),Unit,Density Range,Concentration Class,Sampling Method,Organization
21387,2/1/2022,27.4154,-97.3013,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
17308,12/5/2019,27.5818,-97.2204,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
17898,2/25/2020,27.7044,-97.1497,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
2664,3/23/1991,23.47,-83.2,Atlantic Ocean,gulf of mexico,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
1419,2/22/1998,22.57,-74.52,Atlantic Ocean,north atlantic ocean,Other,0.02376,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
4075,4/6/1998,22.72,-74.6,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
19727,7/6/2021,29.2325,-94.8866,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
18980,1/19/2021,29.2326,-94.8854,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,1-2,Low,Hand picking,University of Texas Marine Science Institute
18304,6/29/2020,28.0458,-96.8702,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
16973,9/25/2019,27.8125,-97.0672,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
15648,12/16/2018,27.8653,-97.3306,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
16226,4/27/2019,28.1278,-96.9896,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
22226,6/5/2017,27.9185,-82.5379,Atlantic Ocean,gulf of mexico,caribbean sea,8.2,pieces/m3,1-10,High,Plankton net,University of South Florida
19976,9/24/2021,29.5324,-95.0093,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
17222,12/1/2019,29.298,-94.7771,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
20305,11/14/2021,29.2819,-94.7984,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
21301,5/5/2022,29.2713,-94.8173,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
18645,10/5/2020,29.1957,-94.9482,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
15399,6/9/2018,20.751055,-105.37303,Pacific Ocean,north pacific ocean,Other,1410.437236,pieces/m3,500-30000,Medium,PVC cylinder,"Universidad Autónoma de Baja California, Mexico"
5320,2/17/2005,28.21,-74.37,Atlantic Ocean,north atlantic ocean,Other,0.00648,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
5996,2/24/2008,27.76,-76.27,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
1582,2/15/1999,26.74,-76.97,Atlantic Ocean,north atlantic ocean,Other,0.028076,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
9399,3/12/2015,26.8408,-77.3893,Atlantic Ocean,north atlantic ocean,Other,0.009,pieces/m3,0.005-1,Medium,Grab sample,Adventure Scientist
586,3/30/1993,25.98,-77.85,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
5071,12/1/2003,17.79,-64.39,Atlantic Ocean,caribbean sea,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
2993,11/6/1992,15.0,-61.4,Atlantic Ocean,caribbean sea,caribbean sea,0.00216,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
9242,12/7/2014,16.4902,-42.6975,Atlantic Ocean,north atlantic ocean,Other,0.004,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
12894,9/13/2015,30.4876,-133.93585,Pacific Ocean,north pacific ocean,Other,1.05689,pieces/m3,1-10,High,Manta net,"The Ocean Cleanup, Rotterdam, The Netherlands"
7570,7/15/2008,24.28,-143.99,Pacific Ocean,north pacific ocean,Other,0.00216,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
8566,10/18/2012,27.33,-142.18,Pacific Ocean,north pacific ocean,Other,2.896836,pieces/m3,1-10,High,Neuston net,Sea Education Association
4238,12/19/1998,15.77,-76.08,Atlantic Ocean,caribbean sea,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
4914,12/26/2002,19.45,-80.55,Atlantic Ocean,caribbean sea,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
15977,3/19/2019,19.0956,-96.0987,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
9648,6/9/2015,15.8032,-96.0082,Pacific Ocean,north pacific ocean,Other,0.006,pieces/m3,0.005-1,Medium,Grab sample,Adventure Scientist
3989,12/17/1997,12.6,-69.35,Atlantic Ocean,caribbean sea,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
4324,5/11/1999,18.67,-64.98,Atlantic Ocean,caribbean sea,caribbean sea,0.0018,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
10667,10/26/2006,1.9,-108.05,Pacific Ocean,north pacific ocean,Other,0.011,pieces/m3,0.005-1,Medium,Manta net,Scripps Institution of Oceanography-University of California San Diego
10630,9/14/1987,2.867,-122.483,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Manta net,Scripps Institution of Oceanography-University of California San Diego
13913,10/16/2018,-1.2036,-44.44505,Atlantic Ocean,south atlantic ocean,Other,1045.0,pieces/m3,10,Very High,Aluminum bucket,"Federal University of Pará, Brazil"
13925,10/18/2018,0.534544,-47.126658,Atlantic Ocean,north atlantic ocean,Other,1007.0,pieces/m3,10,Very High,Aluminum bucket,"Federal University of Pará, Brazil"
4679,3/8/2001,19.04,-78.39,Atlantic Ocean,caribbean sea,caribbean sea,0.00864,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
351,3/8/1992,16.98,-80.38,Atlantic Ocean,caribbean sea,caribbean sea,0.001964,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
7974,10/14/2010,23.65,-149.74,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
11712,11/17/2011,40.5463,-151.5393,Pacific Ocean,north pacific ocean,Other,0.176388,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
14958,5/18/2017,57.298,-10.39,Atlantic Ocean,north atlantic ocean,Other,216.216216,pieces kg-1 d.w.,200,Very High,Megacorer,"Scottish Marine Institute, Scotland, United Kingdom"
9585,6/20/2015,65.7056,-21.6652,Arctic Ocean,greenland sea,Other,0.007,pieces/m3,0.005-1,Medium,Grab sample,Adventure Scientist
6929,4/2/2005,6.42,-148.97,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
7925,7/4/2010,9.55,-155.93,Pacific Ocean,north pacific ocean,Other,0.0054,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
8011,11/3/2010,16.88,-159.15,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
6302,4/3/2002,18.01,-156.72,Pacific Ocean,north pacific ocean,Other,0.010888,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
3634,7/24/1996,43.4,-64.8,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
11257,9/5/2018,44.066403,9.550197,Atlantic Ocean,mediterranean sea,Other,0.228091,pieces/m3,0.005-1,Medium,Manta net,"Hellenic Centre for Marine Research, Greece"
